Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Car_Owner,House_Owner,Personal_loan,Customer_Job,Income,Cust_Satisfaction_Score,Month
708082083,blue,200,0,87,2023-01-01,week-1,q1,2023,3544.0,1661,15149,111,0.469,chip,travel,4393.21,0,21-25,Female,1,uneducated,single,Florida,no,yes,no,businessman,202326,3,January
708083283,blue,445,1,108,2023-01-01,week-1,q1,2023,3421.0,2517,992,21,0.736,swipe,entertainment,69.44,0,56-65,Female,0,unknown,married,New Jersey,no,no,no,selfemployeed,5225,2,January
708084558,blue,140,0,106,2023-01-01,week-1,q1,2023,8258.0,1771,1447,23,0.214,chip,bills,202.58,0,26-35,Female,1,unknown,married,New Jersey,yes,no,no,selfemployeed,14235,2,January
708085458,blue,250,1,150,2023-01-01,week-1,q1,2023,1438.3,0,3940,82,0.0,online,grocery,236.4,0,36-45,Male,2,uneducated,single,New York,no,no,no,blue-collar,45683,1,January
708086958,blue,320,1,106,2023-01-01,week-1,q1,2023,3128.0,749,4369,59,0.239,swipe,fuel,1004.87,1,46-55,Male,4,graduate,single,Texas,yes,yes,no,businessman,59279,1,January
708095133,blue,100,0,94,2023-01-01,week-1,q1,2023,33304.0,1833,1448,29,0.055,swipe,bills,275.12,0,26-35,Female,1,high school,single,New York,no,yes,no,selfemployeed,14254,3,January
708098133,blue,225,1,75,2023-01-01,week-1,q1,2023,2834.0,1418,1598,39,0.5,swipe,bills,159.8,1,26-35,Female,3,graduate,single,California,yes,no,no,selfemployeed,14975,2,January
708099183,blue,400,1,75,2023-01-01,week-1,q1,2023,5723.0,1873,2732,63,0.327,swipe,grocery,409.8,0,26-35,Female,2,uneducated,single,California,no,no,no,retirees,31982,2,January
708100533,blue,200,1,64,2023-01-01,week-1,q1,2023,2679.0,2277,4943,85,0.85,chip,food,988.6,0,46-55,Male,2,high school,married,New Jersey,yes,no,no,businessman,86668,2,January
708103608,platinum,95,1,80,2023-01-01,week-1,q1,2023,11898.0,2517,15798,128,0.212,chip,grocery,3791.52,0,46-55,Female,1,graduate,married,New Jersey,yes,yes,no,businessman,223196,1,January
708104658,blue,455,1,118,2023-01-01,week-1,q1,2023,1438.3,890,2928,48,0.619,swipe,fuel,732.0,0,26-35,Female,0,post-graduate,single,California,no,yes,no,businessman,33625,2,January
708108333,blue,485,0,86,2023-01-01,week-1,q1,2023,5590.0,0,1507,32,0.0,swipe,entertainment,150.7,0,26-35,Female,4,graduate,single,New York,no,no,no,selfemployeed,14975,3,January
708112008,blue,440,1,86,2023-01-01,week-1,q1,2023,23510.0,1049,1661,35,0.045,swipe,grocery,465.08,0,46-55,Female,2,graduate,single,New Jersey,yes,yes,no,selfemployeed,14975,2,January
708113208,blue,300,1,149,2023-01-01,week-1,q1,2023,1688.0,0,4375,69,0.0,chip,fuel,525.0,0,36-45,Male,1,high school,single,New Jersey,yes,no,no,white-collar,59416,3,January
708117933,blue,360,0,70,2023-01-01,week-1,q1,2023,1880.0,0,2469,34,0.0,chip,bills,419.73,1,46-55,Female,4,graduate,married,California,no,yes,no,retirees,28122,1,January
708119658,blue,340,0,44,2023-01-01,week-1,q1,2023,12836.0,1034,2519,53,0.081,swipe,bills,554.18,0,46-55,Female,2,graduate,single,Florida,yes,no,no,govt,29021,1,January
708121908,blue,405,0,71,2023-01-01,week-1,q1,2023,22917.0,0,2045,45,0.0,swipe,grocery,265.85,0,46-55,Female,1,graduate,married,Texas,no,no,no,selfemployeed,20632,3,January
708123033,silver,355,0,78,2023-01-01,week-1,q1,2023,11463.0,0,14511,105,0.0,swipe,fuel,3047.31,0,46-55,Female,5,graduate,married,Florida,no,no,no,businessman,172101,2,January
708125733,blue,220,0,69,2023-01-01,week-1,q1,2023,1438.3,0,4311,77,0.0,swipe,entertainment,1207.08,0,36-45,Female,4,graduate,single,Florida,no,no,no,retirees,57168,2,January
708128733,blue,125,1,105,2023-01-01,week-1,q1,2023,1814.0,0,5014,99,0.0,swipe,entertainment,1303.64,0,46-55,Male,3,graduate,married,New York,no,no,no,govt,89954,2,January
708129933,blue,350,1,77,2023-01-01,week-1,q1,2023,2072.0,1544,4210,64,0.745,chip,entertainment,884.1,0,26-35,Female,3,uneducated,single,Texas,yes,yes,yes,blue-collar,53762,1,January
708132783,blue,250,1,92,2023-01-01,week-1,q1,2023,16411.0,1179,3929,71,0.072,swipe,food,785.8,1,36-45,Female,5,unknown,married,New Jersey,yes,yes,no,selfemployeed,45476,3,January
708134283,blue,125,1,101,2023-01-01,week-1,q1,2023,3131.0,629,1483,31,0.201,swipe,food,311.43,0,56-65,Male,0,graduate,single,Texas,yes,yes,yes,selfemployeed,14975,2,January
708136908,blue,110,1,73,2023-01-01,week-1,q1,2023,2616.0,801,4655,68,0.306,swipe,entertainment,605.15,0,46-55,Male,2,doctorate,married,Missouri,yes,yes,no,retirees,72878,2,January
708139833,blue,460,0,111,2023-01-01,week-1,q1,2023,6391.0,0,2323,44,0.0,swipe,grocery,441.37,0,36-45,Female,1,unknown,single,New York,no,no,no,businessman,25667,3,January
708145908,blue,320,0,78,2023-01-01,week-1,q1,2023,4906.0,2185,3999,71,0.445,swipe,bills,959.76,0,36-45,Male,3,graduate,single,Massachusetts,no,yes,no,blue-collar,47224,1,January
708147108,blue,320,0,112,2023-01-01,week-1,q1,2023,21084.0,2517,2309,71,0.119,swipe,travel,277.08,0,46-55,Female,0,graduate,single,New York,yes,no,no,white-collar,25341,2,January
708148158,blue,175,0,73,2023-01-01,week-1,q1,2023,1827.0,0,4207,86,0.0,swipe,fuel,925.54,0,26-35,Male,2,doctorate,single,New York,no,yes,yes,blue-collar,53644,3,January
708151008,blue,440,1,86,2023-01-01,week-1,q1,2023,6250.0,644,2433,41,0.103,swipe,fuel,486.6,0,46-55,Female,1,uneducated,married,California,no,yes,no,govt,27423,2,January
708152358,blue,335,1,101,2023-01-01,week-1,q1,2023,18512.0,1664,8019,57,0.09,swipe,food,721.71,0,46-55,Male,3,graduate,married,New York,yes,yes,no,blue-collar,110014,2,January
708153558,blue,375,0,150,2023-01-01,week-1,q1,2023,34516.0,1802,7936,101,0.052,swipe,fuel,634.88,0,36-45,Male,4,graduate,unknown,Iowa,no,no,no,businessman,109186,3,January
708154833,blue,250,0,82,2023-01-01,week-1,q1,2023,1438.3,811,2336,46,0.564,chip,fuel,630.72,0,36-45,Female,3,graduate,married,New Jersey,yes,yes,no,govt,25835,2,January
708155733,blue,335,0,88,2023-01-01,week-1,q1,2023,14734.0,1634,1289,23,0.111,swipe,bills,296.47,0,36-45,Female,3,graduate,married,California,yes,yes,no,selfemployeed,11345,2,January
708158133,blue,110,1,131,2023-01-01,week-1,q1,2023,3031.0,2517,2188,50,0.83,swipe,bills,350.08,1,46-55,Female,2,uneducated,single,New York,yes,no,no,selfemployeed,23215,2,January
708160008,blue,375,1,96,2023-01-01,week-1,q1,2023,34516.0,1058,7412,84,0.031,swipe,bills,1927.12,0,56-65,Male,0,graduate,single,California,no,no,no,businessman,103581,3,January
708161133,blue,150,1,99,2023-01-01,week-1,q1,2023,6629.0,1389,3891,69,0.21,swipe,fuel,466.92,0,46-55,Female,2,unknown,single,Texas,yes,yes,no,selfemployeed,44555,3,January
708162558,blue,420,0,88,2023-01-01,week-1,q1,2023,3250.0,1992,1355,36,0.613,swipe,entertainment,189.7,1,36-45,Female,5,graduate,married,Texas,no,yes,no,selfemployeed,12381,2,January
708163758,platinum,470,0,158,2023-01-01,week-1,q1,2023,34516.0,638,13085,139,0.018,swipe,bills,2355.3,0,46-55,Male,1,graduate,single,New York,no,yes,no,white-collar,123809,1,January
708170508,blue,250,0,72,2023-01-01,week-1,q1,2023,1438.3,0,1651,42,0.0,swipe,entertainment,462.28,0,26-35,Female,0,graduate,married,Florida,yes,no,no,selfemployeed,14975,1,January
708171858,blue,100,1,104,2023-01-01,week-1,q1,2023,1864.0,1081,2607,44,0.58,swipe,fuel,312.84,0,46-55,Female,3,graduate,married,New York,no,yes,no,businessman,30586,1,January
708173433,blue,285,0,40,2023-01-01,week-1,q1,2023,5645.0,2324,2482,57,0.412,swipe,food,496.4,0,36-45,Female,1,graduate,single,California,no,no,no,retirees,28367,3,January
708174708,blue,175,1,69,2023-01-01,week-1,q1,2023,5535.0,1276,1764,38,0.231,swipe,fuel,194.04,0,46-55,Female,0,graduate,single,New York,yes,no,no,white-collar,15355,1,January
708176208,blue,465,1,89,2023-01-01,week-1,q1,2023,7268.0,0,4199,80,0.0,swipe,food,587.86,0,46-55,Female,1,uneducated,married,California,no,no,no,govt,53428,2,January
708177333,silver,460,1,107,2023-01-01,week-1,q1,2023,11261.0,2485,1158,26,0.221,swipe,bills,243.18,0,36-45,Female,3,graduate,single,California,yes,yes,no,selfemployeed,7865,2,January
